City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,cabedelo,-6.9811,-34.8339,79.79,84,27,7.07,BR,1715224402
312,mammoth lakes,37.6485,-118.9721,39.92,33,0,9.22,US,1715224450
313,kikwit,-5.041,18.8162,75.31,58,97,2.77,CD,1715224450
314,illizi,26.4833,8.4667,72.32,35,3,5.99,DZ,1715224451
315,usogorsk,63.4106,48.6872,27.66,92,100,12.84,RU,1715224451
316,chillicothe,39.3331,-82.9824,70.11,78,40,4.61,US,1715224451
317,chimbarongo,-34.7,-71.05,41.88,85,0,3.51,CL,1715224242
318,kadinhani,38.2397,32.2114,48.83,49,100,0.83,TR,1715224451
319,muang phonsavan,19.45,103.2167,73.94,81,45,3.44,LA,1715224451
320,glencoe,-28.1783,30.147,50.13,83,0,2.93,ZA,1715224451
321,san luis de la loma,17.2706,-100.8939,78.24,73,16,8.95,MX,1715224452
322,kourou,5.1552,-52.6478,78.85,89,59,7.92,GF,1715224452
323,majuro,7.0897,171.3803,82.36,83,100,9.22,MH,1715224452
324,hobyo,5.3505,48.5268,83.7,79,9,10.56,SO,1715224452
325,fisterra,42.9049,-9.2629,53.74,75,100,5.41,ES,1715224452
326,tucurui,-3.7661,-49.6725,74.64,93,47,2.62,BR,1715224362
327,phan thiet,10.9333,108.1,91.24,55,18,15.88,VN,1715224452
328,trenton,40.217,-74.7429,77.18,50,0,8.05,US,1715224453
329,tuy hoa,13.0833,109.3,86.99,67,72,9.55,VN,1715224453
330,khandyga,62.6667,135.6,41.31,71,100,7.16,RU,1715224453
331,kyshtovka,56.555,76.6271,54.34,53,100,14.0,RU,1715224453
332,obidos,-1.9175,-55.5181,76.48,92,97,3.38,BR,1715224453
333,chimore,-16.9833,-65.1333,74.53,99,100,1.97,BO,1715224276
334,harstad,68.799,16.5293,39.15,97,100,17.0,NO,1715224453
335,klaksvik,62.2266,-6.589,41.92,80,100,16.55,FO,1715224453
336,chinde,26.8418,88.0763,68.31,44,50,5.32,NP,1715224453
337,ponta delgada,37.7333,-25.6667,65.19,82,20,5.75,PT,1715224167
338,guatire,10.4762,-66.5427,74.62,94,100,1.88,VE,1715224454
339,kaihua,23.3687,104.28,67.46,79,100,6.62,CN,1715224454
340,happy valley-goose bay,53.3168,-60.3315,31.46,90,100,7.4,CA,1715224454
341,veseloyarsk,51.2836,81.1056,66.29,39,40,10.02,RU,1715224454
342,zhaotong,27.3167,103.7167,61.5,75,100,4.41,CN,1715224454
343,tan-tan,28.438,-11.1032,66.11,60,92,3.76,MA,1715224454
344,acapulco de juarez,16.8634,-99.8901,78.62,83,40,11.5,MX,1715224454
345,calca,-13.3333,-71.95,54.75,87,42,5.79,PE,1715224455
346,colusa,39.2143,-122.0094,73.42,27,0,16.6,US,1715224455
347,eureka,40.8021,-124.1637,56.62,80,0,5.99,US,1715224455
348,phongsali,21.6833,102.1058,80.19,56,96,1.23,LA,1715224455
349,korhogo,9.45,-5.6333,76.39,81,47,1.66,CI,1715224455
350,lichuan,30.3,108.85,62.17,72,100,4.16,CN,1715224455
351,el calafate,-50.3408,-72.2768,31.55,76,100,1.63,AR,1715224443
352,sao tome,0.3365,6.7273,81.36,85,96,7.45,ST,1715224456
353,merritt,50.1123,-120.7942,57.72,49,8,3.27,CA,1715224456
354,saynshand,44.8824,110.1163,70.0,18,98,12.26,MN,1715224456
355,yashkul',46.1711,45.3435,49.15,45,9,4.76,RU,1715224456
356,la ronge,55.1001,-105.2842,53.15,62,86,7.09,CA,1715224204
357,kamina,-8.7386,24.9906,63.95,71,98,4.29,CD,1715224456
358,lagos de moreno,21.35,-101.9167,77.99,14,84,8.48,MX,1715224456
359,cascais,38.6979,-9.4215,70.05,50,100,4.0,PT,1715224453
360,siloam springs,36.1881,-94.5405,65.75,100,0,4.61,US,1715224303
361,quellon,-43.1167,-73.6167,46.49,88,100,3.8,CL,1715224377
362,wakkanai,45.4094,141.6739,44.19,69,7,20.76,JP,1715224457
